ID,PrimaryStreetSuffixName,CommonlyUsed,PostalServiceStandardSuffixAbbreviation
514,VILLE,VL,VL
515,VISTA,VIST,VIS
516,VISTA,VISTA,VIS
517,VISTA,VSTA,VIS
518,VISTA ,VIS,VIS
519,VISTA ,VST,VIS
520,WALK,WALK,WALK
521,WALKS,WALKS,WALK
522,WALL,WALL,WALL
523,WAY,WAY,WAY
524,WAY,WY,WAY
525,WAYS,WAYS,WAYS
526,WELL,WELL,WL
527,WELLS,WELLS,WLS
528,WELLS,WLS,WLS
,,,
,,    ,
,,,
,,,
,,,
, ,,
